DescriptionArea;Response
 Hallo Service Desk-Team, wenn ich meine Monatsabrechnung angucke und diese richtig verstehe, habe ich in den letzten Monaten bisher eine Diskrepanz zwischen den angefallenen Arbeitstagen (AT) und denen mit mobiler Arbeit (MA)  Es ist ja meistens so, dass in den Folgemonaten Korrekturen einfließen, aber ichrechne ich nicht mehr damit. Falls ich da etwas falsch verstehe, bitte gerne eine Info. Falls meine Einschätzung passt, wäre eine kurzfristige Korrektur wünschenswert;HR Operations Task: check mismatch mobile work
 In der Woche zeigt mir Chronos unter dem  (wenn ich die Ansicht ausklappe mit dem Rückblick) ein negatives Gleitzeitsaldo an. An den 4 Arbeitstagen habe ich aber jeden Tag mehr gearbeitet und mir scheint, dass der Feiertag im System von den Stunden her als Arbeitszeit gerechnet wurde. In Summe würde das passen: Wenn ich die eingetragene Arbeitszeit an den 4 Tagen zusammenzähle, dann fehlt genau das angezeigte negative  für die Stunden bei einer 5 Tage Woche ohne Feiertag. Ich bitte um Prüfung und evtl. Korrektur. Bitte bescheid sagen, falls  notwendig sind ;HR Operations Task: check flexitime balance
 Dear, I am not able to enter in HR portal and Chronos. ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hi ich war auf Schulung was muss man da eintragen?  ;"Hi, das kommt drauf an: hast du die Schulung online gemacht oder bei dir in der N�he (<35 km)? Dann w�re es ganz normal Mobiles Arbeiten.
Falls du daf�r reisen musstest (>35 km) w�re das eine Dienstreise."
Ich hatte eigentlich meine Auszeit beantragt. Da er aber jetzt einen Unfall hatte, haben wir eine Auflösung vereinbart. In SAP habe ich bei Maßnahmen die “meine Auszeit” rausgelöscht. In Chronos ist sie aber noch nicht raus.  ihr das bitte prüfen, ob in SAP noch was gelöscht werden muss? Danke ;"HR Operations Task: needs correction in SAP as ""Meine Auszeit"" / ""Sabbatical"" is an SAP leading type"
 Liebes CARIAD Service Hub Team, ich habe meine Elternzeit zurückgezogen, was auch bestätigt wurde. Leider ist es immernoch in Chronos enthalten. Das ist gerade ein Blocker für mich. Könntet ihr das bitte korrigieren? ;"HR Operations Task: needs correction in SAP as ""Elternzeit"" / ""Parental Leave"" is a SAP leading type"
It is quarter 4 and I can't make my vacation planning in Chronos, is there something missing!?;"Hi, the system prevents booking holidays from the current entitlement for the upcoming year. We are currently working on this topic and it hopefully should be solved in time. Please try to book the holiday for the upcoming year again a little later and let us know if it works.
You can also already send your team lead (and team collegaues) the blocker for your whole Christmas/winter vacation in Outlook for organizational reasons."
" Guten Tag, ich bekomme aufgrund meines 10-Jährigen Jubiläums in Chronos ""+1 Tag Jubiläum"" angezeigt, allerdings gibt es den Eintrag nicht zur Auswahl. (Erster  von mir und zweiter  von einem Kollegen). Können Sie den Jubiläumsurlaubstag bitte für mich buchen? ";Hi, prinzipiell hat man 4 Wochen Zeit, den Jubil�umstag zu nehmen (danach verf�llt der Anspruch nach �7 Manteltarifvertrag). Es ist uns daher nicht m�glich, nachtr�glich den Jubil�umstag zu gew�hren.
 Guten Morgen, Ich habe den Standort Ingolstadt (IN Campus) als erste Tätigkeitsstätte.  war ich für einen Workshop in Ingolstadt. Trage ich das bei der Zeiterfassung im Chronos jetzt als “Office” oder “Tätigkeit an einem anderem Standort” ein? ;"Hi, da Ingolstadt deine (vertragliche) erste T�tigkeitsst�tte ist, z�hlt der Workshop-Tag ganz klassisch als Office-Tag. Ist ja keine Dienstreise und du arbeitest auch nicht an einem anderen Standort. Ist sonst auch nochmal im Intranet beschrieben:
""Wann trage ich die Anwesenheitsart �Office (anderer Standort)� in Chronos ein?
Diese Anwesenheitsart ist in Chronos nur dann zu hinterlegen, wenn du auf freiwilliger Basis an einem anderen CARIAD-Standort als deinem arbeitsvertraglich vereinbarten, t�tig wirst. Dies ist der Fall, wenn du ohne betriebliche Veranlassung an einem anderen CARIAD-Standort arbeitest, d.h. nicht im Rahmen einer Dienstreise.""

Chronos Absence and working time management - Cariad Net - Group Wiki"
 , I think my remaining vacation “Resturlaub” is shown incorrectly.  It shows more days, but I have taken more than that in the months before. Unfortunately I have no historic screenshots taken, so I cannot prove easily wheather or not the number is correct. Are you able to check the validity easily in the system?  will at least try to accumulate the number of days I took so far. ;HR Operations Task: check mismatch annual leave days
 Hallo, ich habe in einer Woche Urlaub eingetragen. Nun muss ich arbeitsbedingt eine Inlandsdienstreise machen (Start von zuhause, Ende wieder zuhause). Weiter muss ich  eine Auslandsdienstreise machen (wieder Start/Ende zuhause). Bei beiden Dienstreisen kann ich die Änderung in  nicht durchführen, es kommt nach der Information, dass mein Vorgesetzter informiert wird, dass der Urlaub gecancelt wird, eine Meldung eines technischen Fehlers und der Bitte, es später nochmals zu probieren. Da ich es nun schon eine gute Woche immer wieder probiere, gehe ich davon aus, dass es kein temporäres Problem ist. Unten angehängt die Fehlermeldung. Können diese 2 Änderungen bitte manuell eingetragen und mir eine Rückmeldung gegeben werden. ;HR Operations Task: manual override
 Hallo, ich bin am Standort Berlin angestellt, wohne allerdings in Sachsen. Welche Feiertage gelten für mich, wenn ich aus dem HomeOffice arbeite? ;Hi, es gelten immer die Feiertage an deinem vertraglichen Standort.
 Meine Urlaubstage, welche mir durch meine SB zustehen und welche ich noch nicht entnommen habe, finde ich plötzlich nicht mehr im Chronos und nicht mehr auf meiner Abrechnung. Wie können wir hier weiter vorgehen?;Autoresponse: SB / Schwerbehindertenurlaub should never be asked as part of ticket system
 Guten Tag, ich kann seit mehreren Tagen nicht wie gewohnt auf Chronos zugreifen. Die Webseite baut sich nicht auf. Über den Pfad der Cariad Startseite, HR Portal funktioniert der  ebenfalls nicht. Zudem konnte ich vorab meine zur Verfügung stehenden Urlaubstage nicht im Kalender buchen. Es wurde mir “kein Urlaub zur Verfügung” angezeigt, entgegen der oben gezeigten Verfügbarkeit. ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hallo zusammen,  seit dem Update von  ist die Anzahl meiner Urlaubstage in  nicht mehr korrekt (es fehlen Tage) ;HR Operations Task: check mismatch annual leave days
 The link is not working anymore: hr.portal.prd.eu.bp.aws.cloud.vwgroup.com  ;Hi, that sure looks like a VPN connection issue to me. Please contact the EHD in that case or, if you happen to have a Mac, mac@volkswagen.de. And let them know you have been in contact with us before, otherwise, you might end up in circles. Best regards
 Hi ServiceDesk Team, in the last days I could see an “occasion related time off” showing up in chronos, due to my 10 Year anniversary this october.  Unfortunately it does not show up anymore, I just booked a day off now with the “occasion related time off“ at the end of October, but I don’t know if that's enough and if it’s properly recognized by the system. Could you please take a look and give a feedback if what I did is correct?  ;"Hi, please do not book it as ""occasion-related absence"". The anniversary is treated as an additional annual leave day that can only be booked within a specific time frame."
 Hello HR team,  I am on a business travel (test drive) in the US, and here we are currently planning to work through the weekends. Concerning the regulation - I’d like to know if the pure travel time/days (e.g. flying time to the US and back) are considered a part of the  working days. Can you help me figure out? Then I will plan the schedule accordingly to be compliant.;Travel Time is regarded as working time
 Guten Tag, ich wollte gerade meine anlassbezogene Freistellung zum zehnjährigen (“+1 Tag Jubiläum” siehe Bild) buchen. Nun wird es nicht mehr angezeigt und es kommt die Meldung “Dein Jubiläum Kontingent ist verbraucht.“. Können Sie das für mich bitte buchen? ;"Hi, please do not book it as ""occasion-related absence"". The anniversary is treated as an additional annual leave day that can only be booked within a specific time frame."
 Hi, I just came back from parental leave this tuesday. I’m working on tuesday, thursday and friday. Unfortunately there are tuesday, wednesday and thursday marked as office days for me in chronos (see screenshot). Can you please change this? ;HR Operations Task: working time model is defined in SAP as leading and needs to be changed
 Hallo, wie kann ich meine mehrarbeit in  geltend machen? Ich sehe nur das Extrafenster, aber kann keine STunden für Mehrarbeit angeben.   ;Hi, when overtime is granted (which is indicated by the KPI at the top specifying the number of approved hours per month), and you enter more hours then you are supposed to work daily, the option appears to shift between newly created flexi-time hours and overtime hours (which will not be counted into the flexitime balance).  
